a,b,m,d,k,n
0,0,0,3,0,0
1,0,0,0,0,0
-1,1,0,0,0,0
0,-1,0,0,0,0
0,1,0,4,6,0
-1,0,0,0,0,0
1,-1,0,0,0,0
1,1,0,5,8,0
3,0,0,4,8,0
4,0,0,0,0,0
2,1,0,6,2,2
3,-1,0,0,0,0
3,1,0,5,10,0
2,0,0,0,0,0
4,-1,0,0,0,0
4,1,0,5,8,0
6,0,0,4,8,0
7,0,0,0,0,0
5,1,0,6,2,2
6,-1,0,0,0,0
6,1,0,5,10,0
5,0,0,0,0,0
7,-1,0,0,0,0
7,1,0,5,8,0
9,0,0,4,8,0
10,0,0,0,0,0
8,1,0,6,2,2
9,-1,0,0,0,0
9,1,0,5,10,0
8,0,0,0,0,0
10,-1,0,0,0,0
10,1,0,4,8,0
12,0,0,3,0,0
13,0,0,0,0,0
11,1,0,6,0,0
12,-1,0,0,0,0
12,1,0,4,6,0
11,0,0,0,0,0
13,-1,0,0,0,0
13,1,0,5,8,0
15,0,0,4,8,0
16,0,0,0,0,0
14,1,0,6,2,2
15,-1,0,0,0,0
15,1,0,0,0,0
14,0,0,0,0,0
16,-1,0,0,0,0
-1,2,0,4,4,0
0,2,0,6,2,2
-2,3,0,0,0,0
-1,3,0,5,6,0
-2,2,0,0,0,0
0,3,0,6,8,2
2,2,0,6,0,2
3,2,0,6,2,2
1,3,0,6,2,2
2,3,0,6,1,1
1,2,0,6,10,2
3,3,0,6,3,1
5,2,0,6,0,2
6,2,0,6,2,2
4,3,0,6,2,2
5,3,0,6,2,2
4,2,0,6,3,3
6,3,0,6,0,2
8,2,0,6,11,1
9,2,0,6,1,1
7,3,0,6,2,2
8,3,0,6,10,2
7,2,0,6,2,2
9,3,0,6,8,2
11,2,0,5,8,0
12,2,0,6,1,1
10,3,0,6,2,2
11,3,0,6,6,2
10,2,0,5,10,0
12,3,0,6,4,2
14,2,0,5,0,0
15,2,0,0,0,0
13,3,0,6,1,1
14,3,0,0,0,0
13,2,0,6,2,2
-2,4,0,4,4,0
-1,4,0,6,1,1
-3,5,0,0,0,0
-2,5,0,4,2,0
-3,4,0,0,0,0
-1,5,0,5,4,0
1,4,0,6,11,1
2,4,0,6,1,1
0,5,0,6,2,2
1,5,0,6,9,1
0,4,0,6,11,3
2,5,0,6,11,1
4,4,0,6,3,1
5,4,0,6,2,2
3,5,0,6,1,1
4,5,0,6,1,1
3,4,0,6,1,1
5,5,0,6,4,2
7,4,0,6,0,2
8,4,0,6,2,2
6,5,0,6,2,2
7,5,0,6,2,2
6,4,0,6,3,3
8,5,0,6,3,1
10,4,0,6,4,2
11,4,0,6,2,2
9,5,0,6,2,2
10,5,0,6,6,2
9,4,0,6,1,1
11,5,0,6,4,2
13,4,0,5,0,0
14,4,0,0,0,0
12,5,0,6,1,1
13,5,0,0,0,0
12,4,0,6,5,1
-3,6,0,3,0,0
-2,6,0,6,0,0
-4,7,0,0,0,0
-3,7,0,3,2,0
-4,6,0,0,0,0
-2,7,0,3,0,0
0,6,0,5,4,0
1,6,0,6,1,1
-1,7,0,6,0,0
0,7,0,5,6,0
-1,6,0,4,2,0
1,7,0,6,4,2
3,6,0,6,3,1
4,6,0,6,1,1
2,7,0,6,2,2
3,7,0,6,5,1
2,6,0,6,1,1
4,7,0,6,3,1
6,6,0,6,0,2
7,6,0,6,1,1
5,7,0,6,2,2
6,7,0,6,10,2
5,6,0,6,6,2
7,7,0,6,7,1
9,6,0,6,9,3
10,6,0,6,2,2
8,7,0,6,1,1
9,7,0,6,5,1
8,6,0,6,6,2
10,7,0,6,7,1
12,6,0,5,0,0
13,6,0,0,0,0
11,7,0,6,1,1
12,7,0,0,0,0
11,6,0,6,5,1
-4,8,0,3,0,0
-3,8,0,6,0,0
-5,9,0,0,0,0
-4,9,0,3,2,0
-5,8,0,0,0,0
-3,9,0,4,4,0
-1,8,0,5,8,0
0,8,0,6,2,2
-2,9,0,6,1,1
-1,9,0,5,2,0
-2,8,0,4,6,0
0,9,0,5,4,0
2,8,0,6,8,2
3,8,0,6,2,2
1,9,0,6,2,2
2,9,0,5,2,0
1,8,0,6,6,2
3,9,0,5,4,0
5,8,0,6,8,2
6,8,0,6,2,2
4,9,0,6,2,2
5,9,0,5,2,0
4,8,0,6,6,2
6,9,0,5,4,0
8,8,0,6,7,1
9,8,0,6,1,1
7,9,0,6,2,2
8,9,0,5,2,0
7,8,0,6,10,2
9,9,0,5,4,0
11,8,0,5,0,0
12,8,0,0,0,0
10,9,0,6,1,1
11,9,0,0,0,0
10,8,0,6,1,1
-5,10,0,3,0,0
-4,10,0,0,0,0
-6,11,0,0,0,0
-5,11,0,0,0,0
-6,10,0,0,0,0
-2,10,0,4,0,0
-1,10,0,0,0,0
-3,11,0,0,0,0
-2,11,0,0,0,0
-3,10,0,0,0,0
